ModulationOrder,SNR,PilotLength,PilotSpacing,SymbolRate,PhaseNoise,BER,CBER
4,0,8,128,30000000,15,0.225403613,0.178918238
4,0,8,128,30000000,20,0.313758792,0.196801071
4,0,8,128,30000000,25,0.415136469,0.251303748
4,0,8,128,30000000,30,0.489475104,0.354339834
4,0,8,128,100000000,0,0.159357017,0.167793918
4,0,8,128,100000000,5,0.166315337,0.16918758
4,0,8,128,100000000,10,0.177129955,0.171420436
4,0,8,128,100000000,15,0.22021859,0.170631194
4,0,8,128,100000000,20,0.320447371,0.179242927
4,0,8,128,100000000,25,0.441601063,0.202066017
4,0,8,128,100000000,30,0.501328724,0.254780411
4,0,8,128,300000000,0,0.159152214,0.16869805
4,0,8,128,300000000,5,0.164032529,0.169027733
4,0,8,128,300000000,10,0.187305187,0.169492287
4,0,8,128,300000000,15,0.20494825,0.168443294
4,0,8,128,300000000,20,0.279876319,0.171825048
4,0,8,128,300000000,25,0.442305387,0.179237932
4,0,8,128,300000000,30,0.526429628,0.19690597
4,0,8,128,1000000000,0,0.163178349,0.170491328
4,0,8,128,1000000000,5,0.16174972,0.168438299
4,0,8,128,1000000000,10,0.175351662,0.169752038
4,0,8,128,1000000000,15,0.195911925,0.169102661
4,0,8,128,1000000000,20,0.268087636,0.169627158
4,0,8,128,1000000000,25,0.39146919,0.170141664
4,0,8,128,1000000000,30,0.55286425,0.174642343
4,0,8,128,10000000000,0,0.15808324,0.167454244
4,0,8,128,10000000000,5,0.15930207,0.169057705
4,0,8,128,10000000000,10,0.159806586,0.168523218
4,0,8,128,10000000000,15,0.174732257,0.169582201
4,0,8,128,10000000000,20,0.197310582,0.167404292
4,0,8,128,10000000000,25,0.224784207,0.168648098
4,0,8,128,10000000000,30,0.299592391,0.167723985
4,0,8,128,30000000000,0,0.159117247,0.168123601
4,0,8,128,30000000000,5,0.159287084,0.168713035
4,0,8,128,30000000000,10,0.158742607,0.167928788
4,0,8,128,30000000000,15,0.158922434,0.167119565
4,0,8,128,30000000000,20,0.161345109,0.169202566
4,0,8,128,30000000000,25,0.19482297,0.169732057
4,0,8,128,30000000000,30,0.267623082,0.170865969
4,0,8,256,1000000,0,0.160875559,0.171765105
4,0,8,256,1000000,5,0.166325328,0.179702486
4,0,8,256,1000000,10,0.179772418,0.197895021
4,0,8,256,1000000,15,0.216422235,0.240219389
4,0,8,256,1000000,20,0.296575288,0.345847986
4,0,8,256,1000000,25,0.418942815,0.46129216
4,0,8,256,1000000,30,0.492966752,0.500049952
4,0,8,256,10000000,0,0.161310142,0.171954923
4,0,8,256,10000000,5,0.1661455,0.173528413
4,0,8,256,10000000,10,0.180456762,0.178533608
4,0,8,256,10000000,15,0.218939818,0.207246044
4,0,8,256,10000000,20,0.298433504,0.261179268
4,0,8,256,10000000,25,0.424912084,0.374300671
4,0,8,256,10000000,30,0.495014786,0.466362292
4,0,8,256,30000000,0,0.162029452,0.170741089
4,0,8,256,30000000,5,0.166050591,0.170616208
4,0,8,256,30000000,10,0.178933224,0.174612372
4,0,8,256,30000000,15,0.220932904,0.183388947
4,0,8,256,30000000,20,0.303878277,0.214514066
4,0,8,256,30000000,25,0.414836757,0.291834839
4,0,8,256,30000000,30,0.491992687,0.414681905
4,0,8,256,100000000,0,0.161529931,0.170631194
4,0,8,256,100000000,5,0.167624081,0.170606218
4,0,8,256,100000000,10,0.182025256,0.171070772
